,fips,objectid,id,acstotpop,acsipovbas,acseducbas,acstothh,acstothu,minorpop,minorpct,lowincome,lowincpct,lesshs,lesshspct,under5,under5pct,over64,over64pct,pre1960,pre1960pct,vuleopct,vuleo,dispeo,dslpm,cancer,resp,ptraf,pwdis,pnpl,prmp,ptsdf,ozone,pm25,state_name,region,arealand,areawater,npl_cnt,tsdf_cnt,shape_length,shape_area
1,37001,143210,3.7001E+11,1421.026549,1381.929204,956.0265487,566.8938053,617.2477876,503.2123894,0.366387843,549.8672566,0.417440188,138.3097345,0.161063368,82.71681416,0.055347973,232.8053097,0.177105184,149.3982301,0.269171244,0.391914015,535.9211859,32.59198339,0.316529769,34.59307725,0.457659195,NA,NA,0.018487268,0.466510754,1.087132712,43.45316145,8.29733703,NA,4,9705172.027,247718.3097,0,0.10619469,16632.47246,15255287.41
2,37003,143278.5,3.7003E+11,1546.625,1489.5,1113.583333,571.75,683.2916667,203.0833333,0.134805579,582.7916667,0.387996225,205.1666667,0.195211051,75.91666667,0.050132256,295.375,0.197835011,98.83333333,0.152045574,0.261400902,405.867102,-141.9492133,0.172803039,30.84474818,0.393857161,NA,NA,0.037912568,0.096924204,0.12815287,43.1674793,8.401688647,NA,4,28056590.42,393582.8333,0,0.041666667,32339.2704,43472594.39
3,37005,143296,3.7006E+11,997.5454545,986.3636364,749.3636364,431.4545455,741.8181818,129.5454545,0.12637604,481.3636364,0.488407578,175.0909091,0.233655622,40.09090909,0.040034843,254.7272727,0.256759825,111.3636364,0.145556853,0.307391809,308.8310395,-44.50068294,0.099379247,21.84324538,0.268012548,NA,NA,0.049249745,0.046548646,0.046578007,42.31874165,7.133256471,NA,4,55190999.55,337730.8182,0,0,47686.76617,86083790.28
4,37007,143311,3.70079E+11,1331.894737,1235.210526,952.2105263,500.8421053,610.2105263,737.7894737,0.559590096,581.5263158,0.472147596,185.3684211,0.191649841,62.94736842,0.047940652,228.5789474,0.18561929,162.5263158,0.277760107,0.515868846,670.7667409,199.0081265,0.179558906,35.18456743,0.491192612,NA,NA,0.045261657,0.055233944,0.23587285,42.0935753,7.856333397,NA,4,72446217.74,768590.1579,0,0.052631579,48568.0052,109294567.9
5,37009,143331.5,3.701E+11,1217.545455,1202.318182,919.6363636,536.5909091,802.2272727,90.27272727,0.077346154,455.0454545,0.387932741,144.8636364,0.161379699,53.36363636,0.042770976,292.1363636,0.244919356,138.4545455,0.180897468,0.232639447,276.5605289,-154.6954411,0.092948069,20.980614,0.257356723,NA,NA,0.070518297,0.026908277,0.224960005,42.85610342,6.934823785,NA,4,50040990.55,367869.3182,0.045454545,0.090909091,50378.34945,78033330.09
6,37011,143350.5,3.70119E+11,1093.8125,889.4375,820.25,411.6875,885.375,137.6875,0.095126215,402.4375,0.458028791,145.3125,0.158249902,40.1875,0.037191683,231.25,0.24143489,132.4375,0.200441886,0.276577503,300.31922,-87.11039829,0.090340485,20.49581624,0.244119345,NA,NA,0.01639408,0.028834228,0.050771,42.75757173,6.909697599,NA,4,40037633.25,27830.3125,0,0,45198.04998,61461012.28
7,37013,143376,3.70139E+11,1349.8,1334.885714,963.2,552.1428571,740.8571429,461.4,0.385115949,572,0.467653519,119.6571429,0.131875701,65.48571429,0.047842385,308.8,0.233814244,140.5142857,0.216916636,0.426384734,519.7859405,41.68526169,0.155657769,26.63451284,0.359977143,NA,NA,0.156930039,0.217074993,0.277016011,39.17017557,7.163471364,NA,4,61565729.94,9684688.543,0.028571429,0.028571429,44564.02374,107704420.8
8,37015,143403.5,3.7016E+11,982.2,916.1,726.75,398.8,492.05,645.45,0.599233262,458.75,0.469975582,154.75,0.181052361,42.2,0.040881922,206.25,0.210517742,114.8,0.237598206,0.534604422,572.3330854,224.4367402,0.133979615,26.28007138,0.343410219,NA,NA,0.016108952,0.177176214,0.053201585,39.6872651,7.278513247,NA,4,90542929.4,5454406.8,0,0.05,61154.49534,147220912.7
9,37017,143429,3.7018E+11,1089.612903,1073.870968,779,450.5806452,576.6774194,493.9354839,0.457898049,556.0645161,0.52825222,154.7741935,0.191297748,57.90322581,0.058047815,217.8064516,0.207786365,86.12903226,0.161274256,0.493075135,530.2882368,144.3461204,0.142718576,29.93067002,0.417415024,NA,NA,0.025594423,0.181820486,0.163041695,39.0255203,7.724246027,NA,4,73093152.35,1064866.645,0,0.064516129,50571.62812,109751216.2
10,37019,143489.5,3.7019E+11,1409.555556,1397.633333,1101.2,602.5111111,966.3111111,257.1888889,0.148003531,435.1333333,0.297974444,105.8111111,0.093901925,58.94444444,0.036924173,413.1333333,0.317275318,32.61111111,0.040796311,0.222988987,348.2231018,-151.043062,NA,NA,NA,NA,NA,0.069348304,0.146806342,0.369278528,37.2089902,7.038490509,NA,4,24437610.74,5765756.8,0.022222222,0.111111111,26881.79144,44096242.27
11,37021,143611.5,3.7021E+11,1652.428571,1610.603896,1208.519481,695.4090909,789.5519481,270.7857143,0.16561525,542.2012987,0.355264246,109.0454545,0.092645696,83.55844156,0.051132938,313.5844156,0.188235635,182.8636364,0.259208487,0.260439748,414.2110993,-171.08096,0.252217489,27.2889952,0.350562716,NA,NA,0.170159994,0.23896088,1.471012348,43.01987386,7.345986374,NA,4,11041032.35,58070.14935,0.019480519,0.168831169,19188.70593,16829295.74
12,37023,143717.5,3.7023E+11,1546.758621,1500,1108.172414,597.7931034,708.4827586,283.5,0.161811114,630.1551724,0.40881246,211.3448276,0.199059038,73.68965517,0.046621978,296.4827586,0.204541957,157.8103448,0.228693475,0.285311787,468.8633218,-79.0003221,0.220373984,32.32983116,0.427160169,NA,NA,0.018509797,0.607367847,0.608486593,42.68885525,8.180605563,NA,4,22605980.66,357239.5862,0,0.120689655,27128.91989,34938538.05
13,37025,143793.5,3.7025E+11,2143.06383,2123.531915,1415.478723,769.1382979,830.7765957,710.8404255,0.337559748,597.0531915,0.327344501,141.5106383,0.124752422,137.6170213,0.064477692,273.9255319,0.142385141,148.5319149,0.244024833,0.332452124,657.1999501,-101.8756698,0.431151832,38.0291371,0.521915167,NA,NA,0.215837087,0.409993254,0.673638695,46.20573231,8.761143734,NA,4,9953213.702,74539.26596,0.010638298,0.127659574,15343.28005,15120860.28
14,37027,143871.5,3.7027E+11,1319.016129,1299.370968,947.6774194,525.7096774,612.0967742,163.983871,0.136234368,536.483871,0.436969155,192.1451613,0.205920057,66.72580645,0.050822817,249.4516129,0.194254395,141.2741935,0.254451922,0.286601762,354.1364431,-113.060554,0.205614815,31.33499519,0.410364358,NA,NA,0.020028869,0.798756962,1.463608277,42.81260329,8.063705312,NA,4,19712782.31,113522.629,0,0.225806452,23384.36474,30319498.49
15,37029,143905.5,3.703E+11,1741.166667,1741.166667,1209.833333,639.3333333,704.6666667,341.1666667,0.160312735,497.8333333,0.244030591,173.6666667,0.12930086,82,0.035152598,297,0.149956266,118,0.150640874,0.202171663,419.5,-197.2231925,0.154730711,23.8067874,0.30580797,NA,NA,0.016490846,0.140040033,0.092017046,40.84771656,6.815599726,NA,4,103741447,30185484.17,0,0,73406.07374,206828689.2
16,37031,143944.5,3.7032E+11,957.2222222,938.3194444,721.5972222,412.3611111,693.2083333,130.5,0.1250145,283.9583333,0.275443478,63.93055556,0.08136868,41.16666667,0.03641695,225.5138889,0.249143289,88.25,0.145798779,0.200228989,209.5188575,-129.5303307,NA,NA,NA,NA,NA,0.042450175,0.046422828,0.292400345,NA,NA,NA,4,18259669.93,29597977.11,0,0.041666667,30488.24599,71248256.5
17,37033,143989.5,3.70339E+11,1263.666667,1212.777778,926.2222222,506.1111111,598.7777778,490.7222222,0.389973614,467.7222222,0.397402112,190.2222222,0.20542034,58.77777778,0.041167082,255,0.204393945,143.3333333,0.22032932,0.393687863,495.2352123,47.64305711,0.175733684,30.89038106,0.405490476,NA,NA,0.038654448,0.090874091,0.11376247,42.59759085,8.08243525,NA,4,61205150.06,480215.6111,0,0,48318.56691,95389231.52
